timestamp,subscriber_count_Connected,phoenix_memory_chunksize_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_chunksize_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_chunksize_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_chunksize_cm_transactionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-10-13 08:27:12.467000008,80,3072,8,127.998046875,39,4096,581,51.18359375,2168,3072,8,159.17578125,2207,4096,3,32,5
2024-10-13 08:27:13.467000008,81,3072,8,127.998046875,39,4096,584,51.18359375,2170,3072,8,159.17578125,2234,4096,3,32,5
2024-10-13 08:27:14.467000008,82,3072,8,127.998046875,39,4096,587,51.18359375,2172,3072,8,159.17578125,2261,4096,3,32,5
2024-10-13 08:27:15.467000008,83,3072,8,127.998046875,39,4096,591,51.18359375,2174,3072,8,159.17578125,2288,4096,3,32,5
2024-10-13 08:27:16.467000008,84,3072,8,127.998046875,39,4096,594,51.18359375,2176,3072,8,159.17578125,2315,4096,3,32,5
2024-10-13 08:27:17.467000008,85,3072,8,127.998046875,39,4096,597,51.18359375,2178,3072,8,159.17578125,2342,4096,3,32,5
2024-10-13 08:27:18.467000008,86,3072,8,127.998046875,39,4096,601,51.18359375,2180,3072,8,159.17578125,2369,4096,3,32,5
2024-10-13 08:27:19.467000008,87,3072,8,127.998046875,39,4096,604,51.18359375,2182,3072,8,159.17578125,2396,4096,3,32,5
2024-10-13 08:27:20.467000008,88,3072,8,127.998046875,39,4096,607,51.18359375,2184,3072,8,159.17578125,2423,4096,3,32,5
2024-10-13 08:27:21.467000008,89,3072,8,127.998046875,39,4096,611,51.18359375,2186,3072,8,159.17578125,2450,4096,3,32,5
